,Country.of.Origin,Variety,Processing.Method,Moisture,Harvest.Year,Color,altitude_mean_meters,Category.One.Defects,Category.Two.Defects,Total.Cup.Points,Calidad
2447,14,7,4,0.0,2014,1,2019.0,0,0,87.25,Premium
3063,18,11,4,0.12,2013,1,1600.0,0,1,85.5,Premium
693,11,7,4,0.12,2012,1,950.0,0,12,81.0,Bueno
139,6,3,4,0.12,2015,1,520.2316366961293,0,7,84.0,Bueno
896,5,7,4,0.12,2014,1,2075.0,0,2,88.83,Premium
1739,6,7,4,0.1,2014,1,371.5940262115209,0,2,78.33,Estándar
1161,6,3,4,0.1,2014,1,1500.0,0,1,83.25,Bueno
1130,6,0,4,0.1,2017,1,1700.0,0,3,83.42,Bueno
399,16,7,4,0.12,2014,1,1700.0,0,0,82.67,Bueno
2253,11,15,4,0.12,2012,1,1250.0,0,19,73.83,Estándar
1405,11,15,4,0.15,2012,1,1144.0,1,9,82.17,Bueno
1841,11,15,4,0.12,2013,1,1700.0,0,7,74.67,Estándar
2525,11,7,4,0.13,2012,1,1320.0,0,0,87.17,Premium
3076,1,1,0,0.1,2015,1,1700.0,0,0,85.33,Premium
2146,3,2,4,0.1,2013,0,1100.0,0,4,79.75,Estándar
1458,0,16,0,0.0,2016,1,1.0,0,0,81.83,Bueno
2008,11,15,0,0.12,2012,1,1250.0,0,6,79.92,Estándar
824,6,7,4,0.12,2014,1,371.5940262115209,0,3,79.0,Estándar
2650,5,7,4,0.12,2014,1,2075.0,0,1,89.92,Premium
2548,1,1,0,0.1,2015,1,1700.0,0,0,85.33,Premium
2268,11,6,4,0.11,2012,1,1100.0,0,45,79.08,Estándar
1616,14,15,4,0.12,2012,1,1000.0,0,0,80.75,Bueno
156,2,3,4,0.0,2014,1,1775.0,0,1,83.92,Bueno
2164,11,15,4,0.12,2012,1,1250.0,0,11,79.58,Estándar
2475,14,7,4,0.0,2014,1,2019.0,0,0,87.25,Premium
1296,15,15,4,0.08,2014,1,1200.0,0,0,82.67,Bueno
2257,6,0,4,0.1,2017,1,1700.0,0,1,79.08,Estándar
1804,11,3,4,0.12,2012,1,1550.0,1,20,79.5,Estándar
776,15,15,4,0.11,2014,1,250.0,0,0,80.0,Estándar
1257,14,0,4,0.11,2015,0,1900.0,0,0,82.83,Bueno
6,11,7,4,0.13,2012,1,1320.0,0,0,87.17,Premium
2298,11,15,4,0.12,2012,1,1300.0,0,3,79.83,Estándar
1116,16,10,4,0.13,2015,1,1400.0,0,21,83.5,Bueno
2670,1,1,4,0.1,2015,1,1450.0,0,0,87.25,Premium
649,0,16,1,0.12,2015,1,1200.0,0,6,81.33,Bueno
1626,6,0,0,0.11,2014,1,421.75921975007617,0,5,80.58,Bueno
2133,11,15,4,0.11,2012,1,1050.0,0,3,78.08,Estándar
1525,11,0,4,0.13,2012,1,1250.0,0,5,81.5,Bueno
2019,11,15,4,0.12,2014,1,1000.0,0,1,70.75,Estándar
1183,7,2,0,0.1,2013,1,1450.0,0,5,83.17,Bueno
3043,5,7,4,0.12,2014,1,2075.0,0,2,88.83,Premium
1457,0,16,0,0.0,2016,1,1.0,0,1,81.83,Bueno
1289,0,0,0,0.0,2018,1,890.0,0,4,82.67,Bueno
2291,3,3,4,0.12,2014,1,1200.0,2,4,77.92,Estándar
2136,7,9,4,0.11,2014,1,1350.0,1,16,73.42,Estándar
2323,15,15,4,0.1,2013,1,800.0,0,0,78.58,Estándar
1944,7,2,4,0.1,2014,1,1450.0,0,3,69.17,Estándar
2249,11,3,4,0.13,2012,1,1150.0,0,2,78.67,Estándar
2358,13,3,1,0.13,2016,1,1100.0,1,5,63.08,Estándar
533,3,2,4,0.1,2013,1,1300.0,0,4,82.0,Bueno
1439,6,0,4,0.11,2017,1,371.5940262115209,0,0,81.92,Bueno
1907,11,2,4,0.11,2012,1,1100.0,0,3,79.92,Estándar
2741,2,3,0,0.12,2014,1,1550.0,0,2,85.25,Premium
2276,7,2,4,0.1,2014,1,1450.0,0,4,69.17,Estándar
2289,6,0,4,0.11,2012,1,399.46357817738493,1,4,78.33,Estándar
1200,0,16,0,0.0,2016,1,1.0,0,3,83.08,Bueno
10,0,0,0,0.12,2011,1,1300.0,0,2,86.42,Premium
3016,0,0,0,0.12,2011,1,1250.0,0,2,86.92,Premium
1434,0,6,0,0.12,2012,1,1000.0,0,1,82.0,Bueno
544,6,0,4,0.11,2017,1,371.5940262115209,0,0,81.92,Bueno
816,6,2,4,0.11,2015,1,1550.0,0,6,79.17,Estándar
2973,5,7,4,0.12,2014,1,2075.0,0,2,88.83,Premium
1975,6,0,4,0.12,2013,1,399.46357817738493,1,8,78.75,Estándar
2169,1,15,4,0.1,2013,1,1200.0,0,28,78.0,Estándar
1814,11,15,4,0.14,2012,1,1550.0,0,8,79.17,Estándar
1340,11,0,4,0.12,2013,1,1170.0,0,0,82.42,Bueno
2171,6,0,4,0.11,2012,1,399.46357817738493,0,15,75.58,Estándar
2999,3,3,4,0.0,2014,0,1300.0,0,0,85.33,Premium
2992,14,7,4,0.0,2014,1,2019.0,0,0,87.25,Premium
2207,11,15,4,0.12,2013,1,1300.0,0,8,78.92,Estándar
137,5,4,0,0.11,2017,1,1800.0,3,1,84.0,Bueno
1759,14,3,4,0.0,2014,1,1200.0,7,9,77.0,Estándar
3029,5,7,0,0.1,2014,1,1822.5,0,4,88.25,Premium
1749,3,3,4,0.12,2014,1,1200.0,2,4,77.92,Estándar
1155,6,9,4,0.11,2016,1,2100.0,0,7,83.25,Bueno
663,11,15,4,0.12,2012,1,1500.0,0,1,81.25,Bueno
1083,9,12,4,0.11,2017,0,1700.0,0,0,83.67,Bueno
2739,3,3,4,0.11,2014,1,1300.0,0,2,87.17,Premium
