,Country.of.Origin,Variety,Processing.Method,Moisture,Harvest.Year,Color,altitude_mean_meters,Category.One.Defects,Category.Two.Defects,Total.Cup.Points,Calidad
173,0,16,3,0.12,2012,1,1250.0,0,3,83.83,Bueno
174,0,0,0,0.11,2018,1,890.0,0,5,83.75,Bueno
175,2,3,4,0.11,2017,1,442.0,0,1,83.75,Bueno
176,15,15,0,0.0,2016,1,750.0,0,0,83.75,Bueno
177,1,1,4,0.1,2015,1,1650.0,0,2,83.75,Bueno
178,2,3,0,0.0,2016,1,442.0,0,0,83.75,Bueno
179,18,0,0,0.12,2013,1,1400.0,0,0,83.75,Bueno
180,14,7,4,0.12,2013,1,260.11581834806464,0,1,83.75,Bueno
181,2,3,4,0.0,2014,1,1775.0,0,5,83.75,Bueno
182,2,7,4,0.0,2014,1,1550.0,0,3,83.75,Bueno
183,2,3,4,0.0,2013,0,1750.0,0,1,83.75,Bueno
184,2,3,4,0.11,2013,1,1750.0,0,3,83.75,Bueno
185,11,3,0,0.13,2012,1,700.0,5,5,83.75,Bueno
186,6,3,4,0.11,2012,0,1300.0,0,1,83.75,Bueno
187,0,0,0,0.11,2018,1,890.0,0,2,83.67,Bueno
188,9,12,4,0.11,2017,0,1700.0,0,0,83.67,Bueno
189,7,3,4,0.1,2016,1,1400.0,0,2,83.67,Bueno
190,13,3,4,0.1,2016,1,1250.0,0,3,83.67,Bueno
191,0,0,0,0.11,2016,1,934.0,0,3,83.67,Bueno
192,15,3,0,0.1,2015,0,1200.0,0,0,83.67,Bueno
193,6,0,4,0.1,2014,1,413.49125266686985,0,0,83.67,Bueno
194,2,3,4,0.0,2013,1,1750.0,0,3,83.67,Bueno
195,2,3,4,0.0,2013,1,1900.0,0,1,83.67,Bueno
196,6,0,4,0.12,2013,1,399.46357817738493,1,3,83.67,Bueno
197,6,0,4,0.11,2013,1,399.46357817738493,0,2,83.67,Bueno
198,2,3,4,0.11,2012,1,1750.0,0,1,83.67,Bueno
199,6,3,0,0.11,2012,1,1450.0,0,1,83.67,Bueno
200,6,0,4,0.11,2012,1,399.46357817738493,0,13,83.67,Bueno
201,11,15,4,0.12,2012,1,1100.0,4,11,83.67,Bueno
202,8,15,4,0.12,2012,1,1400.0,0,0,83.67,Bueno
203,6,3,4,0.1,2012,1,464.49253276440106,0,0,83.67,Bueno
204,0,0,0,0.11,2018,1,890.0,0,5,83.58,Bueno
205,6,3,4,0.11,2016,1,343.9102712587626,0,0,83.58,Bueno
206,1,1,4,0.1,2015,1,1100.0,0,4,83.58,Bueno
207,2,3,4,0.12,2015,1,1775.0,0,3,83.58,Bueno
208,11,3,4,0.12,2014,1,1200.0,1,13,83.58,Bueno
209,18,11,4,0.12,2013,1,1800.0,0,5,83.58,Bueno
210,2,3,0,0.0,2014,1,1600.0,0,0,83.58,Bueno
211,2,3,4,0.12,2014,1,1550.0,0,1,83.58,Bueno
212,15,15,1,0.11,2014,1,1000.0,0,0,83.58,Bueno
213,2,3,4,0.11,2012,1,1775.0,0,3,83.58,Bueno
214,2,3,0,0.11,2012,1,2136.0,0,4,83.58,Bueno
215,0,2,3,0.12,2012,0,1100.0,0,2,83.58,Bueno
216,2,3,4,0.0,2016,0,1799.0,0,5,83.5,Bueno
217,3,3,4,0.0,2015,0,1850.0,0,0,83.5,Bueno
218,2,3,0,0.0,2016,1,1000.0,0,0,83.5,Bueno
219,6,0,4,0.1,2016,0,371.5940262115209,0,5,83.5,Bueno
220,2,3,4,0.12,2015,1,1775.0,0,4,83.5,Bueno
221,16,10,4,0.13,2015,1,1400.0,0,21,83.5,Bueno
222,8,14,3,0.13,2015,0,1500.0,0,8,83.5,Bueno
223,2,3,4,0.11,2014,1,1850.0,0,0,83.5,Bueno
224,6,3,4,0.1,2013,1,1400.0,0,0,83.5,Bueno
