,Country.of.Origin,Variety,Processing.Method,Moisture,Harvest.Year,Color,altitude_mean_meters,Category.One.Defects,Category.Two.Defects,Total.Cup.Points
391,2,3,4,0.11,2012,1,1450.0,0,2,83.42
399,0,2,3,0.1,2016,1,1227.0,1,5,83.33
400,11,3,4,0.12,2014,1,1200.0,0,2,83.33
401,2,3,4,0.11,2015,1,1650.0,0,1,83.33
402,16,7,3,0.12,2014,1,1700.0,0,6,83.33
403,11,7,4,0.12,2013,1,1100.0,0,0,83.33
404,3,3,4,0.12,2014,1,1300.0,0,3,83.33
406,3,2,4,0.11,2013,1,1200.0,0,3,83.33
408,14,15,4,0.11,2012,1,390.17372752209695,0,4,83.33
409,2,3,0,0.11,2013,1,1000.0,0,1,83.33
410,6,0,4,0.11,2013,1,399.46357817738493,0,3,83.33
413,2,3,4,0.0,2012,1,1750.0,0,1,83.33
416,11,15,4,0.11,2017,0,1600.0,0,0,83.25
417,3,2,2,0.11,2016,1,1900.0,0,0,83.25
419,6,9,4,0.11,2016,1,2100.0,0,7,83.25
422,2,3,0,0.0,2016,1,442.0,0,2,83.25
423,11,15,0,0.12,2015,0,1261.0,0,2,83.25
424,15,0,4,0.1,2015,0,1000.0,0,0,83.25
425,15,15,4,0.1,2014,1,800.0,0,0,83.25
426,2,3,0,0.0,2014,1,1483.0,0,0,83.25
427,6,3,4,0.1,2014,1,1500.0,0,1,83.25
428,2,3,4,0.11,2013,1,1750.0,0,1,83.25
429,11,0,4,0.12,2013,1,1300.0,0,6,83.25
432,11,3,4,0.12,2012,0,1000.0,0,0,83.25
433,6,0,4,0.11,2012,1,399.46357817738493,0,9,83.25
434,0,16,3,0.11,2012,0,1200.0,0,1,83.25
435,2,3,4,0.12,2012,1,175.0,0,1,83.25
436,2,3,4,0.11,2012,1,1775.0,0,0,83.25
440,0,0,0,0.11,2018,1,890.0,0,4,83.17
441,6,0,4,0.1,2017,1,1901.0,0,1,83.17
442,16,0,4,0.12,2016,1,168.0,0,3,83.17
444,19,1,0,0.07,2017,1,1550.0,0,0,83.17
445,6,3,4,0.11,2016,1,1500.0,2,3,83.17
446,7,2,4,0.11,2016,0,1450.0,0,1,83.17
447,1,1,4,0.11,2015,1,1200.0,0,0,83.17
448,1,1,4,0.1,2015,1,1600.0,0,3,83.17
449,4,0,4,0.0,2016,1,1350.0,0,0,83.17
450,6,0,4,0.11,2015,1,1500.0,0,1,83.17
451,6,0,4,0.12,2015,1,1650.0,0,3,83.17
452,9,12,4,0.1,2014,0,250.5,0,1,83.17
454,16,7,4,0.13,2014,0,1653.0,0,6,83.17
456,18,11,4,0.1,2014,0,1800.0,0,0,83.17
458,7,2,0,0.1,2013,1,1450.0,0,5,83.17
459,7,3,0,0.11,2015,1,1350.0,0,3,83.17
460,6,2,4,0.09,2014,1,464.49253276440106,0,1,83.17
462,16,0,4,0.12,2014,1,1800.0,0,1,83.17
463,6,0,4,0.11,2013,1,399.46357817738493,0,2,83.17
464,11,15,4,0.11,2013,1,1500.0,0,2,83.17
465,11,15,4,0.12,2012,1,532.0,3,8,83.17
466,11,8,4,0.14,2012,1,1089.0,0,10,83.17
467,2,3,4,0.11,2012,1,1775.0,1,2,83.17
468,11,15,4,0.13,2012,1,700.0,0,5,83.17
469,2,3,4,0.11,2012,0,1750.0,0,0,83.17
471,0,6,0,0.12,2012,1,1000.0,0,1,83.17
472,0,6,0,0.11,2012,1,950.0,0,4,83.17
473,6,0,4,0.0,2012,1,427.333130143249,0,10,83.17
474,0,6,3,0.12,2011,0,1000.0,0,3,83.17
478,2,3,4,0.0,2016,1,1799.0,0,4,83.08
480,0,16,2,0.11,2015,0,905.0,0,2,83.08
481,0,16,0,0.0,2016,1,1.0,0,3,83.08
482,15,15,0,0.0,2015,1,750.0,0,0,83.08
484,0,0,4,0.0,2015,1,1200.0,0,1,83.08
485,3,2,4,0.1,2014,1,1300.0,0,3,83.08
496,0,0,0,0.0,2018,1,890.0,0,4,83.0
497,0,0,0,0.11,2016,1,894.0,0,5,83.0
498,0,0,0,0.11,2016,0,872.0,0,3,83.0
499,18,0,4,0.12,2015,1,1473.0,0,6,83.0
500,18,0,0,0.12,2015,1,1645.0,0,8,83.0
502,19,3,1,0.0,2014,1,1550.0,0,0,83.0
503,6,2,4,0.11,2015,1,1550.0,0,3,83.0
504,6,2,4,0.11,2015,1,418.04327948796094,0,2,83.0
505,6,0,4,0.11,2015,1,1500.0,0,2,83.0
506,0,2,0,0.0,2014,1,1000.0,0,0,83.0
507,15,15,4,0.08,2014,1,1200.0,0,0,83.0
508,18,11,4,0.12,2013,1,1800.0,0,0,83.0
509,14,7,4,0.0,2013,0,260.11581834806464,0,0,83.0
510,6,0,4,0.1,2014,1,1500.0,1,0,83.0
511,3,2,4,0.11,2013,1,1200.0,0,3,83.0
512,0,16,3,0.12,2014,0,1250.0,0,4,83.0
513,2,3,4,0.11,2013,1,1775.0,1,1,83.0
514,2,3,4,0.0,2013,1,1750.0,0,0,83.0
515,2,3,0,0.11,2013,1,1000.0,0,1,83.0
516,2,3,0,0.0,2013,1,1000.0,0,2,83.0
517,2,3,4,0.11,2012,1,1775.0,1,2,83.0
518,11,15,4,0.11,2012,1,750.0,0,20,83.0
519,11,15,3,0.11,2012,1,1200.0,0,7,83.0
520,11,0,4,0.11,2012,1,1200.0,5,8,83.0
522,2,3,4,0.0,2012,1,1625.0,0,4,83.0
523,2,3,4,0.11,2012,1,1750.0,0,0,83.0
524,6,0,4,0.1,2012,1,418.04327948796094,0,2,83.0
525,2,3,4,0.12,2011,0,1775.0,0,0,83.0
533,0,0,0,0.0,2018,1,890.0,0,0,82.92
534,4,0,4,0.0,2017,1,1350.0,0,1,82.92
535,2,3,4,0.11,2017,1,1500.0,0,1,82.92
536,15,3,0,0.09,2016,1,350.0,31,0,82.92
537,5,7,4,0.0,2016,0,2000.0,1,20,82.92
538,15,15,0,0.0,2014,1,775.0,0,9,82.92
539,14,7,4,0.11,2015,0,1200.0,0,1,82.92
540,14,7,4,0.0,2014,0,1600.0,0,0,82.92
541,11,15,0,0.13,2015,0,1059.0,0,3,82.92
542,11,0,4,0.12,2015,0,1300.0,2,8,82.92
544,18,11,4,0.12,2013,1,1650.0,0,0,82.92
545,18,11,4,0.12,2013,1,1400.0,0,4,82.92
546,6,0,4,0.1,2014,1,1500.0,0,1,82.92
547,6,3,0,0.1,2014,1,1500.0,0,2,82.92
549,2,3,4,0.11,2013,1,1900.0,0,2,82.92
550,2,3,0,0.0,2013,0,1750.0,0,0,82.92
551,6,0,4,0.11,2013,1,520.2316366961293,0,2,82.92
552,2,7,4,0.11,2013,1,1450.0,3,5,82.92
553,11,15,0,0.1,2012,1,1248.0,0,4,82.92
554,19,7,0,0.0,2012,1,1040.0,0,17,82.92
555,11,15,4,0.14,2012,1,1400.0,1,4,82.92
559,9,12,4,0.1,2017,1,1754.0,0,3,82.83
560,6,0,4,0.11,2017,1,1700.0,1,2,82.83
561,0,16,2,0.11,2015,0,905.0,0,2,82.83
562,4,9,4,0.0,2016,1,1250.0,0,4,82.83
563,14,0,4,0.11,2015,0,1900.0,0,0,82.83
564,19,7,1,0.11,2014,1,1040.0,11,0,82.83
565,6,0,4,0.11,2015,1,371.5940262115209,0,2,82.83
566,0,2,0,0.12,2015,1,900.0,2,6,82.83
569,6,0,4,0.1,2014,1,1500.0,0,4,82.83
570,2,15,0,0.0,2013,1,1800.0,4,4,82.83
571,2,3,4,0.11,2013,1,1775.0,0,3,82.83
572,16,7,4,0.11,2012,1,1400.0,0,5,82.83
